=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.11.13 15:39:47 =~=~=~=~=~=~=~=~=~=~=~=
-277,-49,2412
-276,-49,2427
-277,-49,2444
-278,-50,2459
-281,-50,2475
-285,-51,2490
-289,-52,2506
-292,-52,2522
-293,-52,2537
-292,-52,2552
-286,-51,2569
-277,-49,2584
-265,-47,2599
-256,-46,2615
-252,-45,2630
-255,-45,2647
-263,-47,2662
-277,-49,2677
-294,-52,2693
-313,-56,2709
-333,-59,2724
-352,-63,2740
-371,-66,2755
-387,-69,2771
-401,-72,2787
-413,-74,2802
-422,-75,2818
-428,-77,2834
-431,-77,2849
-432,-77,2865
-432,-77,2880
-430,-77,2895
-428,-77,2912
-426,-76,2927
-424,-76,2942
-422,-75,2958
-419,-75,2974
-413,-74,2990
-402,-72,3005
-387,-69,3020
-367,-66,3037
-344,-61,3052
-319,-57,3067
-294,-52,3083
-268,-48,3099
-244,-43,3115
-221,-39,3130
-200,-36,3145
-182,-32,3161
-167,-30,3177
-155,-27,3192
-146,-26,3208
-142,-25,3223
-141,-25,3239
-145,-26,3255
-154,-27,3270
-168,-30,3286
-186,-33,3302
-208,-37,3317
-234,-42,3333
-262,-47,3348
-293,-52,3363
-324,-58,3380
-356,-64,3395
-387,-69,3410
-417,-75,3426
-444,-79,3442
-467,-84,3458
-487,-87,3473
-502,-90,3488
-512,-92,3505
-518,-93,3520
-519,-93,3535
-515,-92,3551
-507,-91,3567
-495,-89,3582
-479,-86,3598
-461,-82,3613
-439,-79,3629
-416,-74,3645
-392,-70,3660
-367,-66,3676
-342,-61,3691
-318,-57,3707
-295,-53,3723
-275,-49,3738
-257,-46,3753
-242,-43,3770
-230,-41,3785
-221,-39,3801
-213,-38,3816
-208,-37,3832
-205,-36,3848
-203,-36,3863
-203,-36,3878
-205,-36,3894
-210,-37,3910
-216,-38,3926
-224,-40,3941
-235,-42,3956
-246,-44,3973
-260,-46,3988
-273,-49,4003
-287,-51,4019
-299,-53,4035
-310,-55,4050
-320,-57,4066
-328,-59,4081
-336,-60,4098
-344,-61,4113
-352,-63,4128
-362,-65,4144
-373,-67,4159
-384,-69,4175
-394,-70,4191
-404,-72,4206
-412,-74,4221
-419,-75,4238
-423,-76,4253
-426,-76,4269
-426,-76,4284
-425,-76,4300
-422,-75,4316
-418,-75,4331
-413,-74,4346
-407,-73,4362
-400,-72,4378
-392,-70,4393
-383,-68,4409
-372,-66,4424
-359,-64,4441
-344,-61,4456
-327,-58,4471
-309,-55,4487
-290,-52,4503
-271,-48,4518
-254,-45,4534
-237,-42,4549
-222,-39,4566
-209,-37,4581
-199,-35,4596
-191,-34,4612
-186,-33,4627
-185,-33,4643
-186,-33,4659
-191,-34,4674
-200,-36,4689
-212,-38,4706
-226,-40,4721
-243,-43,4737
-263,-47,4752
-284,-51,4768
-306,-55,4784
-329,-59,4799
-352,-63,4814
-373,-67,4831
-394,-70,4846
-412,-74,4861
-428,-77,4877
-441,-79,4892
-452,-81,4909
-459,-82,4924
-463,-83,4939
-463,-83,4955
-461,-82,4971
-455,-81,4986
-447,-80,5002
-436,-78,5017
-424,-76,5033
-409,-73,5049
-393,-70,5064
-377,-67,5080
-360,-64,5096
-343,-61,5111
-326,-58,5127
-310,-55,5142
-294,-53,5157
-281,-50,5174
-269,-48,5189
-258,-46,5204
-249,-44,5220
-241,-43,5236
-235,-42,5252
-231,-41,5267
-228,-41,5282
-227,-40,5299
-227,-40,5314
-230,-41,5329
-234,-42,5345
-239,-43,5360
-246,-44,5377
-254,-45,5392
-263,-47,5407
-272,-48,5423
